,event,rank,para_class,date,name,age,country,age_at_event
211,IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,46,MEN,2022-07-23,Adrien LEMAIRE,24,FRA,23
212,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",32,MEN,2022-07-10,Adrien LEMAIRE,24,FRA,23
213,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,42,MEN,2021-07-13,Adrien LEMAIRE,24,FRA,22
214,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",38,MEN,2021-07-03,Adrien LEMAIRE,24,FRA,22
215,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",35,MEN,2021-06-26,Adrien LEMAIRE,24,FRA,22
216,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,27,MEN,2020-08-22,Adrien LEMAIRE,24,FRA,21
217,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,61,MEN,2019-07-20,Adrien LEMAIRE,24,FRA,20
218,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",77,MEN,2019-07-13,Adrien LEMAIRE,24,FRA,20
219,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",52,MEN,2019-07-06,Adrien LEMAIRE,24,FRA,20
220,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,74,MEN,2018-07-21,Adrien LEMAIRE,24,FRA,19
221,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",90,MEN,2018-07-13,Adrien LEMAIRE,24,FRA,19
222,European Youth Cup (L) - Munich (GER) 2018,8,JUNIORS MALE,2018-07-08,Adrien LEMAIRE,24,FRA,19
223,European Youth Cup (L) - Uster (SUI) 2018,5,JUNIORS MALE,2018-07-01,Adrien LEMAIRE,24,FRA,19
224,European Youth Cup (L) - Bruneck (ITA) 2018,5,JUNIORS MALE,2018-06-17,Adrien LEMAIRE,24,FRA,19
225,"European Youth Championship (L, S) - Imst 2018",17,JUNIORS MALE,2018-05-27,Adrien LEMAIRE,24,FRA,19
226,"European Youth Cup (L,S) - Voiron (FRA) 2018",4,JUNIORS MALE,2018-04-08,Adrien LEMAIRE,24,FRA,19
227,European Youth Cup (L) - Imst (AUT) 2014,13,YOUTH B MALE,2014-06-01,Adrien LEMAIRE,24,FRA,15
228,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,36,MEN,2016-07-23,Adrien TRIBOUT,28,FRA,21
229,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",56,MEN,2016-07-16,Adrien TRIBOUT,28,FRA,21
230,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",45,MEN,2016-07-12,Adrien TRIBOUT,28,FRA,21
231,"European Youth Championship (L,S) - Imst (AUT) 2013",21,JUNIORS MALE,2013-07-28,Adrien TRIBOUT,28,FRA,18
232,"European Youth Cup (L, S) - Edinburgh (GBR) 2013",6,JUNIORS MALE,2013-06-09,Adrien TRIBOUT,28,FRA,18
233,"European Youth Championship (L,S) - Gémozac (FRA) 2012",10,YOUTH A MALE,2012-11-04,Adrien TRIBOUT,28,FRA,17
234,European Youth Cup (L) - Voiron (FRA) 2012,11,YOUTH A MALE,2012-06-09,Adrien TRIBOUT,28,FRA,17
235,"European Youth Cup (L,S) - Edinburgh (GBR) 2012",9,YOUTH A MALE,2012-05-20,Adrien TRIBOUT,28,FRA,17
236,European Youth Cup (L) - Pau (FRA) 2011,12,YOUTH A MALE,2011-11-12,Adrien TRIBOUT,28,FRA,16
237,IFSC Climbing Worldcup (L) - Valence (FRA) 2011,24,MEN,2011-10-29,Adrien TRIBOUT,28,FRA,16
238,IFSC Climbing Worldcup (L) - Briançon (FRA) 2011,41,MEN,2011-07-30,Adrien TRIBOUT,28,FRA,16
239,European Youth Series - Kranj (SLO) 2010,12,YOUTH B MALE,2010-11-21,Adrien TRIBOUT,28,FRA,15
240,European Youth Series - Annecy (France) 2010,7,YOUTH B MALE,2010-10-24,Adrien TRIBOUT,28,FRA,15
241,European Youth Series - Veliko Tarnovo (BUL) 2010,7,YOUTH B MALE,2010-10-03,Adrien TRIBOUT,28,FRA,15
242,IFSC World Youth Championship - Edinburgh (GBR) - 2010,10,YOUTH B MALE,2010-09-12,Adrien TRIBOUT,28,FRA,15
243,European Youth Series - Wien (AUT) 2010,3,YOUTH B MALE,2010-08-15,Adrien TRIBOUT,28,FRA,15
244,European Youth Series - Imst (AUT) 2010,6,YOUTH B MALE,2010-06-06,Adrien TRIBOUT,28,FRA,15
245,IFSC European Youth Series - Kranj (SLO) 2009,9,YOUTH B MALE,2009-11-22,Adrien TRIBOUT,28,FRA,14
246,IFSC European Youth Series - Edinburgh (GBR),3,YOUTH B MALE,2009-09-20,Adrien TRIBOUT,28,FRA,14
247,IFSC European Youth Series (L+S) - Munich (GER),8,YOUTH B MALE,2009-09-13,Adrien TRIBOUT,28,FRA,14
248,IFSC World Youth Championships - Valence (FRA) 2009,5,YOUTH B MALE,2009-08-30,Adrien TRIBOUT,28,FRA,14
249,European Youth Series - Imst (AUT) 2009,15,YOUTH B MALE,2009-05-24,Adrien TRIBOUT,28,FRA,14
250,IFSC World Cup Briançon 2023,29,WOMEN,2023-07-15,Adriene Akiko CLARK,18,USA,18
251,IFSC World Cup Chamonix 2023,59,WOMEN,2023-07-09,Adriene Akiko CLARK,18,USA,18
252,IFSC World Cup Villars 2023,63,WOMEN,2023-07-02,Adriene Akiko CLARK,18,USA,18
253,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",46,YOUTH B FEMALE,2016-09-04,Adél BENUS,22,HUN,15
254,Asian Youth Championship - Singapore (SGP) 2011,9,JUNIORS MALE,2011-07-30,Afandi ACHMAD,30,INA,18
255,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",27,WOMEN,2020-11-29,Afra HÖNIG,27,GER,24
256,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,34,WOMEN,2019-10-27,Afra HÖNIG,27,GER,23
257,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",44,WOMEN,2019-10-20,Afra HÖNIG,27,GER,23
258,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,39,WOMEN,2019-09-29,Afra HÖNIG,27,GER,23
259,IFSC Climbing World Championships - Hachioji (JPN) 2019,57,WOMEN,2019-08-21,Afra HÖNIG,27,GER,23
260,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",59,WOMEN,2019-07-13,Afra HÖNIG,27,GER,23
261,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",48,WOMEN,2019-07-06,Afra HÖNIG,27,GER,23
262,IFSC European Youth Series (L+S) - Munich (GER),31,YOUTH B FEMALE,2009-09-13,Afra HÖNIG,27,GER,13
263,Asian Continental Championships - Tehran (IRI) 2017,20,WOMEN,2017-09-21,Afsaneh MIRAHMADI,25,IRI,19
264,Asian Youth Championships - Singapore (SGP) 2017,6,JUNIORS FEMALE,2017-07-09,Afsaneh MIRAHMADI,25,IRI,19
265,Asian Youth Championship - Tehran (IRI) 2016,3,JUNIORS FEMALE,2016-09-30,Afsaneh MIRAHMADI,25,IRI,18
266,Asian Youth Championship - Putrajaya (MAS) 2015,14,YOUTH A FEMALE,2015-12-06,Afsaneh MIRAHMADI,25,IRI,17
267,IFSC World Youth Championship - Singapore (SIN) - 2012,33,YOUTH B FEMALE,2012-09-01,Afsaneh MIRAHMADI,25,IRI,14
268,Asian Youth Championship - Hamedan (IRI) 2012,3,YOUTH B FEMALE,2012-07-13,Afsaneh MIRAHMADI,25,IRI,14
269,"IFSC Europe - Continental Cup (L,S) - Laval (FRA) 2021",20,WOMEN,2021-10-24,Agathe CALLIET,20,FRA,18
270,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),9,JUNIORS FEMALE,2021-06-20,Agathe CALLIET,20,FRA,18
271,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9,JUNIORS FEMALE,2021-05-05,Agathe CALLIET,20,FRA,18
272,IFSC Europe - Continental Youth Cup (L) - Augsburg (GER) 2020,12,YOUTH A FEMALE,2020-09-18,Agathe CALLIET,20,FRA,17
273,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,29,WOMEN,2020-08-22,Agathe CALLIET,20,FRA,17
274,"European Youth Cup (S,L) - Imst (AUT) 2019",23,YOUTH A FEMALE,2019-08-04,Agathe CALLIET,20,FRA,16
275,European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,21,YOUTH A FEMALE,2019-06-30,Agathe CALLIET,20,FRA,16
276,European Youth Cup (L) - Ostermundigen (SUI) 2019,12,YOUTH A FEMALE,2019-06-23,Agathe CALLIET,20,FRA,16
277,IFSC Youth World Championships - Innsbruck (AUT) - 2017,79,YOUTH A FEMALE,2017-09-10,Aggy ST-JACQUES,22,CAN,16
278,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,5,WOMEN RP3,2019-07-17,Agnes LOPEZ,53,GER,49
279,Asian Youth Championship - Tehran (IRI) 2016,7,YOUTH B MALE,2016-09-30,Ahmad Reza ELHAMI,21,IRI,14
280,Asian Continental Championships - Tehran (IRI) 2017,7,MEN,2017-09-21,Ahmadreza SOLGI,30,IRI,24
281,Asian Continental Championship - Duyun (CHN) 2016,8,MEN,2016-08-06,Ahmadreza SOLGI,30,IRI,23
282,"Asian Continental Championship - Tehran, (IRN) 2013",18,MEN,2013-05-24,Ahmadreza SOLGI,30,IRI,20
283,IFSC World Youth Championship - Singapore (SIN) - 2012,9,JUNIORS MALE,2012-09-01,Ahmadreza SOLGI,30,IRI,19
284,Asian Youth Championship - Hamedan (IRI) 2012,2,JUNIORS MALE,2012-07-13,Ahmadreza SOLGI,30,IRI,19
285,Asian Youth Championship - Singapore (SGP) 2011,5,JUNIORS MALE,2011-07-30,Ahmadreza SOLGI,30,IRI,18
286,IFSC World Youth Championships - Arco (ITA) - 2015,73,YOUTH B MALE,2015-09-06,Ahmet Yusuf KILIC,23,TUR,15
287,IFSC World Cup Wujiang 2023,1,WOMEN,2023-09-24,Ai MORI,20,JPN,20
288,IFSC World Cup Koper 2023,2,WOMEN,2023-09-09,Ai MORI,20,JPN,20
289,IFSC World Championships Bern 2023,1,WOMEN,2023-08-12,Ai MORI,20,JPN,20
290,IFSC World Cup Innsbruck 2023,2,WOMEN,2023-06-18,Ai MORI,20,JPN,20
291,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1,WOMEN,2022-09-11,Ai MORI,20,JPN,19
292,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1,WOMEN,2022-09-03,Ai MORI,20,JPN,19
293,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,20,WOMEN,2019-10-27,Ai MORI,20,JPN,16
294,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",9,WOMEN,2019-10-20,Ai MORI,20,JPN,16
295,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,5,WOMEN,2019-09-29,Ai MORI,20,JPN,16
296,IFSC Climbing World Championships - Hachioji (JPN) 2019,3,WOMEN,2019-08-21,Ai MORI,20,JPN,16
297,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",4,WOMEN,2019-07-13,Ai MORI,20,JPN,16
298,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",3,WOMEN,2019-07-06,Ai MORI,20,JPN,16
299,Asian Youth Championships - Chongqing (CHN) 2018,2,YOUTH B FEMALE,2018-11-04,Ai MORI,20,JPN,15
300,IFSC Youth World Championships - Innsbruck (AUT) - 2017,1,YOUTH B FEMALE,2017-09-10,Ai MORI,20,JPN,14
301,Asian Youth Championships - Singapore (SGP) 2017,1,YOUTH B FEMALE,2017-07-09,Ai MORI,20,JPN,14
302,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",6,YOUTH A FEMALE,2022-09-01,Ai TAKEUCHI,18,JPN,17
303,IFSC World Cup Koper 2023,58,WOMEN,2023-09-09,Aida TORRES ILLAMOLA,20,ESP,20
304,IFSC European Cup Žilina 2023,28,WOMEN,2023-07-22,Aida TORRES ILLAMOLA,20,ESP,20
305,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",58,WOMEN,2022-07-10,Aida TORRES ILLAMOLA,20,ESP,19
306,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",67,WOMEN,2022-07-02,Aida TORRES ILLAMOLA,20,ESP,19
307,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",77,WOMEN,2022-06-26,Aida TORRES ILLAMOLA,20,ESP,19
308,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",29,JUNIORS FEMALE,2021-08-31,Aida TORRES ILLAMOLA,20,ESP,18
309,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,49,WOMEN,2021-07-18,Aida TORRES ILLAMOLA,20,ESP,18
310,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,56,WOMEN,2021-07-13,Aida TORRES ILLAMOLA,20,ESP,18
311,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",13,JUNIORS FEMALE,2021-07-04,Aida TORRES ILLAMOLA,20,ESP,18
312,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",47,WOMEN,2021-06-26,Aida TORRES ILLAMOLA,20,ESP,18
313,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),11,JUNIORS FEMALE,2021-06-20,Aida TORRES ILLAMOLA,20,ESP,18
314,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",10,JUNIORS FEMALE,2021-06-13,Aida TORRES ILLAMOLA,20,ESP,18
315,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",14,JUNIORS FEMALE,2021-05-05,Aida TORRES ILLAMOLA,20,ESP,18
316,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,41,WOMEN,2020-08-22,Aida TORRES ILLAMOLA,20,ESP,17
317,IFSC Youth World Championships - Arco (ITA) 2019,36,YOUTH A FEMALE,2019-08-31,Aida TORRES ILLAMOLA,20,ESP,16
318,"European Youth Championship (L, S) - Imst 2018",37,YOUTH A FEMALE,2018-05-27,Aida TORRES ILLAMOLA,20,ESP,15
319,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",30,MEN,2018-10-28,Aidan DOYLE,22,CAN,17
320,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",28,MEN,2018-10-21,Aidan DOYLE,22,CAN,17
321,IFSC Youth World Championships - Moscow (RUS) 2018,52,YOUTH A MALE,2018-08-16,Aidan DOYLE,22,CAN,17
322,"PanAmerican Youth Championship (L, S, B) - Montreal (CAN) 2017",7,YOUTH A MALE,2017-11-05,Aidan DOYLE,22,CAN,16
323,IFSC Youth World Championships - Innsbruck (AUT) - 2017,48,YOUTH A MALE,2017-09-10,Aidan DOYLE,22,CAN,16
324,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",75,MEN,2017-08-26,Aidan DOYLE,22,CAN,16
325,IFSC World Youth Championships - Guangzhou (CHN) - 2016,32,YOUTH B MALE,2016-11-13,Aidan DOYLE,22,CAN,15
326,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",40,MEN,2017-09-24,Aidan ROBERTS,25,GBR,19
327,IFSC Youth World Championships - Innsbruck (AUT) - 2017,34,JUNIORS MALE,2017-09-10,Aidan ROBERTS,25,GBR,19
328,European Youth Cup (L) - Mitterdorf (AUT) 2015,9,YOUTH A MALE,2015-08-09,Aidan ROBERTS,25,GBR,17
329,"European Youth Championship (L, S) - Edinburgh (GBR) 2015",21,YOUTH A MALE,2015-06-14,Aidan ROBERTS,25,GBR,17
330,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",54,MEN,2017-09-24,Aiden DUNNE,23,GBR,17
331,IFSC Youth World Championships - Innsbruck (AUT) - 2017,59,YOUTH A MALE,2017-09-10,Aiden DUNNE,23,GBR,17
332,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",31,YOUTH A MALE,2016-09-04,Aiden DUNNE,23,GBR,16
333,"European Youth Championship (L,S) - Edinburgh 2014",23,YOUTH B MALE,2014-06-15,Aiden DUNNE,23,GBR,14
334,European Youth Cup (L) - Imst (AUT) 2014,28,YOUTH B MALE,2014-06-01,Aiden DUNNE,23,GBR,14
335,IFSC World Cup Briançon 2023,67,MEN,2023-07-15,Aiden YANEV,19,AUS,19
336,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",32,JUNIORS MALE,2022-09-01,Aiden YANEV,19,AUS,18
337,"FISU University Championships (B,S,L) - Innsbruck (AUT) 2022",22,MEN,2022-06-17,Aiden YANEV,19,AUS,18
338,IFSC Youth World Championships - Moscow (RUS) 2018,53,YOUTH B MALE,2018-08-16,Aiden YANEV,19,AUS,14
339,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,8,WOMEN,2019-10-27,Aika TAJIMA,25,JPN,21
340,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",10,WOMEN,2019-10-20,Aika TAJIMA,25,JPN,21
341,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",8,WOMEN,2018-10-28,Aika TAJIMA,25,JPN,20
342,IFSC Youth World Championships - Innsbruck (AUT) - 2017,2,JUNIORS FEMALE,2017-09-10,Aika TAJIMA,25,JPN,19
343,IFSC World Youth Championships - Guangzhou (CHN) - 2016,3,JUNIORS FEMALE,2016-11-13,Aika TAJIMA,25,JPN,18
344,Asian Continental Championship - Ningbo (CHN) 2015,7,WOMEN,2015-11-24,Aika TAJIMA,25,JPN,17
345,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",15,WOMEN,2015-10-18,Aika TAJIMA,25,JPN,17
346,IFSC World Youth Championships - Arco (ITA) - 2015,3,YOUTH A FEMALE,2015-09-06,Aika TAJIMA,25,JPN,17
347,IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,11,WOMEN,2014-10-26,Aika TAJIMA,25,JPN,16
348,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",8,WOMEN,2014-10-12,Aika TAJIMA,25,JPN,16
349,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",23,WOMEN,2014-06-22,Aika TAJIMA,25,JPN,16
350,IFSC World Youth Championship - Central Saanich (CAN) - 2013,1,YOUTH B FEMALE,2013-08-19,Aika TAJIMA,25,JPN,15
351,IFSC World Youth Championship - Singapore (SIN) - 2012,2,YOUTH B FEMALE,2012-09-01,Aika TAJIMA,25,JPN,14
352,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,1,WOMEN RP3,2019-07-17,Aika YOSHIDA,45,JPN,41
353,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,1,WOMEN RP3,2018-09-16,Aika YOSHIDA,45,JPN,40
354,IFSC Paraclimbing World Championships - Paris (FRA) 2016,3,WOMEN RP3,2016-09-18,Aika YOSHIDA,45,JPN,38
355,IFSC Paraclimbing World Masters - Gijon (ESP) 2014,2,WOMEN NEUROLOGICAL PHYSICAL DISABILITY B,2014-09-14,Aika YOSHIDA,45,JPN,36
356,European Youth Cup (L) - Munich (GER) 2018,28,YOUTH A MALE,2018-07-08,Aiko HERBOS,22,BEL,17
357,European Youth Cup (L) - Uster (SUI) 2018,26,YOUTH A MALE,2018-07-01,Aiko HERBOS,22,BEL,17
358,"European Youth Championship (L, S) - Imst 2018",29,YOUTH A MALE,2018-05-27,Aiko HERBOS,22,BEL,17
359,"European Youth Cup (L,S) - Voiron (FRA) 2018",24,YOUTH A MALE,2018-04-08,Aiko HERBOS,22,BEL,17
360,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",11,YOUTH B MALE,2016-09-04,Aiko HERBOS,22,BEL,15
361,European Youth Cup (L) - Imst (AUT) 2016,34,YOUTH B MALE,2016-05-29,Aiko HERBOS,22,BEL,15
362,IFSC World Youth Championships - Arco (ITA) - 2015,25,YOUTH B MALE,2015-09-06,Aiko HERBOS,22,BEL,14
363,European Youth Cup (L) - Mitterdorf (AUT) 2015,27,YOUTH B MALE,2015-08-09,Aiko HERBOS,22,BEL,14
364,"European Youth Championship (L, S) - Edinburgh (GBR) 2015",30,YOUTH B MALE,2015-06-14,Aiko HERBOS,22,BEL,14
365,European Youth Cup (L) - Imst (AUT) 2015,19,YOUTH B MALE,2015-05-31,Aiko HERBOS,22,BEL,14
366,European Youth Cup (L) - Dornbirn (AUT) 2015,31,YOUTH B MALE,2015-05-10,Aiko HERBOS,22,BEL,14
367,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",14,YOUTH A MALE,2021-07-04,Aimar USON POBES,19,ESP,17
368,IFSC Youth World Championships - Arco (ITA) 2019,33,YOUTH B MALE,2019-08-31,Aimar USON POBES,19,ESP,15
369,"European Youth Cup (S,L) - Imst (AUT) 2019",19,YOUTH B MALE,2019-08-04,Aimar USON POBES,19,ESP,15
370,European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,21,YOUTH B MALE,2019-06-30,Aimar USON POBES,19,ESP,15
371,European Youth Cup (L) - Ostermundigen (SUI) 2019,23,YOUTH B MALE,2019-06-23,Aimar USON POBES,19,ESP,15
372,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),18,JUNIORS FEMALE,2021-06-20,Aina LANGENKAMP,21,SUI,19
373,European Youth Cup (L) - Ostermundigen (SUI) 2019,31,YOUTH A FEMALE,2019-06-23,Aina LANGENKAMP,21,SUI,17
374,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",26,YOUTH B FEMALE,2023-07-02,Aina VILA CANTERO,14,ESP,14
375,Asian Youth Championships - Bengaluru (IND) 2019,13,YOUTH B FEMALE,2019-12-15,Ainaz MOHAMMADI SARDOO,18,IRI,14
376,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",32,YOUTH A FEMALE,2022-05-29,Ainhize BELAR BARRUTIA,17,ESP,16
377,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",20,YOUTH B FEMALE,2021-07-04,Ainhize BELAR BARRUTIA,17,ESP,15
378,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",17,JUNIORS MALE,2021-08-31,Aj FLYNN,20,USA,18
379,World University Championships - Bratislava (SVK) 2018,8,WOMEN,2018-06-23,Ajda REMŠKAR,28,SLO,23
380,World University Championships - Shanghai (CHN) 2016,6,WOMEN,2016-10-16,Ajda REMŠKAR,28,SLO,21
381,European Youth Cup (L) - Imst (AUT) 2014,16,JUNIORS FEMALE,2014-06-01,Ajda REMŠKAR,28,SLO,19
382,"European Youth Championship (L,S) - Imst (AUT) 2013",16,JUNIORS FEMALE,2013-07-28,Ajda REMŠKAR,28,SLO,18
383,European Youth Cup (L) - Kranj (SLO) 2012,25,YOUTH A FEMALE,2012-11-25,Ajda REMŠKAR,28,SLO,17
384,European Youth Cup (L)- Kranj (SLO) 2011,18,YOUTH A FEMALE,2011-11-27,Ajda REMŠKAR,28,SLO,16
385,"Asian Continental Championship - Tehran, (IRN) 2013",22,MEN,2013-05-24,Ajij SHAIKH,32,IND,22
386,IFSC Climbing World Championship - Paris (FRA) 2012,81,MEN,2012-09-16,Ajij SHAIKH,32,IND,21
387,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3,WOMEN,2021-06-26,Akiyo NOGUCHI,34,JPN,32
388,IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,4,WOMEN,2019-10-27,Akiyo NOGUCHI,34,JPN,30
389,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2,WOMEN,2019-10-20,Akiyo NOGUCHI,34,JPN,30
390,IFSC Climbing World Championships - Hachioji (JPN) 2019,5,WOMEN,2019-08-21,Akiyo NOGUCHI,34,JPN,30
391,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",10,WOMEN,2019-07-13,Akiyo NOGUCHI,34,JPN,30
392,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",4,WOMEN,2019-07-06,Akiyo NOGUCHI,34,JPN,30
393,Asian Championships - Kurayoshi (JPN) 2018,2,WOMEN,2018-11-11,Akiyo NOGUCHI,34,JPN,29
394,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",3,WOMEN,2018-10-28,Akiyo NOGUCHI,34,JPN,29
395,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",4,WOMEN,2018-10-21,Akiyo NOGUCHI,34,JPN,29
396,IFSC Climbing World Championships - Innsbruck (AUT) 2018,8,WOMEN,2018-09-16,Akiyo NOGUCHI,34,JPN,29
397,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",7,WOMEN,2018-07-13,Akiyo NOGUCHI,34,JPN,29
398,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",5,WOMEN,2018-07-07,Akiyo NOGUCHI,34,JPN,29
399,China Open - Guangzhou (CHN) 2017,4,WOMEN,2017-11-19,Akiyo NOGUCHI,34,JPN,28
400,IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,9,WOMEN,2017-11-12,Akiyo NOGUCHI,34,JPN,28
401,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",6,WOMEN,2017-10-15,Akiyo NOGUCHI,34,JPN,28
402,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",4,WOMEN,2017-10-08,Akiyo NOGUCHI,34,JPN,28
403,Asian Continental Championships - Tehran (IRI) 2017,2,WOMEN,2017-09-21,Akiyo NOGUCHI,34,JPN,28
404,The World Games 2017 - Wroclaw (POL) 2017,6,WOMEN,2017-07-23,Akiyo NOGUCHI,34,JPN,28
405,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2,WOMEN,2016-11-27,Akiyo NOGUCHI,34,JPN,27
406,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",4,WOMEN,2016-10-23,Akiyo NOGUCHI,34,JPN,27
407,Asian Continental Championship - Duyun (CHN) 2016,1,WOMEN,2016-08-06,Akiyo NOGUCHI,34,JPN,27
408,Asian Continental Championship - Ningbo (CHN) 2015,4,WOMEN,2015-11-24,Akiyo NOGUCHI,34,JPN,26
409,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,13,WOMEN,2015-11-15,Akiyo NOGUCHI,34,JPN,26
410,IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,3,WOMEN,2014-11-16,Akiyo NOGUCHI,34,JPN,25
411,IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,4,WOMEN,2014-10-26,Akiyo NOGUCHI,34,JPN,25
412,"IFSC Climbing World Championship (L, S) - Gijon (ESP) 2014",9,WOMEN,2014-09-14,Akiyo NOGUCHI,34,JPN,25
413,IFSC Climbing Worldcup (L) - Briançon (FRA) 2014,7,WOMEN,2014-07-20,Akiyo NOGUCHI,34,JPN,25
414,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",6,WOMEN,2014-07-12,Akiyo NOGUCHI,34,JPN,25
415,IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2,WOMEN,2013-11-17,Akiyo NOGUCHI,34,JPN,24
416,IFSC Climbing Worldcup (L) - Valence (FRA) 2013,7,WOMEN,2013-11-02,Akiyo NOGUCHI,34,JPN,24
417,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",9,WOMEN,2013-10-20,Akiyo NOGUCHI,34,JPN,24
418,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",7,WOMEN,2013-10-12,Akiyo NOGUCHI,34,JPN,24
