,name,n_comps,first_comp,last_comp,years_comp,class
31,Angelino ZELLER,13.0,2018-09-16,2023-08-10,1789 days,MEN RP1
32,Angelo Sebastian SIMIONESCU,6.0,2021-06-24,2023-06-24,730 days,MEN B1
33,Anita AGGARWAL,8.0,2017-09-24,2023-08-10,2146 days,WOMEN RP2
34,Anita CONSTANTINESCU,1.0,2019-07-17,2019-07-17,0 days,WOMEN RP3
35,Anna DEVRIES,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP2
36,Anna LIPP,1.0,2019-07-17,2019-07-17,0 days,WOMEN AU2
37,Anoushé HUSAIN,2.0,2022-06-22,2023-06-13,356 days,WOMEN AU2
38,Anther FRIGOLA GÓMEZ,4.0,2022-06-22,2023-08-10,414 days,MEN RP2
39,Antonio TREVISANI,1.0,2019-07-17,2019-07-17,0 days,MEN AL1
40,Anzor GURASASHVILI,1.0,2013-09-06,2013-09-06,0 days,MEN B1
41,Araminta MCLENNAN,5.0,2022-06-22,2023-08-10,414 days,WOMEN RP1
42,Ariana PERO,2.0,2021-09-17,2022-07-09,295 days,WOMEN B2
43,Arielle RAUSIN,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP1
44,Artem BONDARENKO,1.0,2021-09-17,2021-09-17,0 days,MEN B1
45,Asel TURDIMURATOVA,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP3
46,Asumi KATO,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP1
47,Atticus MATKIN,2.0,2021-10-11,2023-05-18,584 days,MEN RP2
48,Aurora ALBERTO,3.0,2022-06-22,2023-06-13,356 days,WOMEN RP2
49,Bastien THOMAS,11.0,2018-07-18,2023-08-10,1849 days,MEN RP2
50,Beatriz GANDARA CARNERO,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP2
51,Behnam KHALAJI,8.0,2014-09-14,2021-09-17,2560 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
52,Benen PARLMER,1.0,2023-08-10,2023-08-10,0 days,MEN AU3
53,Benjamin MAYFORTH,11.0,2018-09-16,2023-08-10,1789 days,MEN RP2
54,Bill CASSON,6.0,2016-09-18,2023-08-10,2517 days,MEN B1
55,Biman BISWAS,2.0,2021-09-17,2023-08-10,692 days,MEN RP2
56,Bonnie DENIS,3.0,2014-09-14,2018-09-16,1463 days,WOMEN AL2
57,Bostian HALAS,11.0,2017-07-09,2023-06-24,2176 days,MEN RP2
58,Brayden BUTLER,6.0,2022-05-26,2023-08-10,441 days,MEN RP2
59,Brian LIEBENOW,2.0,2023-05-18,2023-08-10,84 days,MEN RP1
